 |Eton Pharmaceuticals|Sell|2 Oct 2020|706.01 |100|$7.06 |
 |Eton Pharmaceuticals|Sell|2 Oct|706.01 |100|$7.06 |
 |Everspin|Buy|10 Aug|1,122.52 |200|$5.61 |
 |Everspin|Sell|9 Oct|1,356.14 |200|$6.78 |
 |Everspin|Sell|9 Oct 2020|1,356.14 |200|$6.78 |
 |Evofem|Buy|11 Aug|598.00 |200|$2.99 |
 |Evofem| Buy |14 Jan|1,206.00 |450|$2.68 |
 |Evofem|Buy|22 Dec 2020|106.42 |50|$2.13 |
 |Evofem|Buy|5 Aug|300.50 |100|$3.01 |
 |Evofem|Sell|31 Aug|504.75 |150|$3.37 |
 |Evofem|Sell|9 Oct 2020|434.25 |150|$2.90 |
 |Evofem|Sell|9 Oct|434.25 |150|$2.90 |
 |Evoke Pharma| Buy |11 Aug|459.00 |85|$5.40 |
 |Evoke Pharma|Buy|19 Jul|385.00 |100|$3.85 |
 |Evoke Pharma| Buy |20 Jan|429.00 |150|$2.86 |
 |Evoke Pharma|Buy|28 Oct 2020|789.54 |200|$3.95 |
 |Evoke Pharma|Buy|28 Oct|789.54 |200|$3.95 |
 |Evoke Pharma| Buy |3 Dec 2020|927.00 |300|$3.09 |
 |Evoke Pharma|Sell|16 Sep 2020|902.99 |185|$4.88 |
 |Evoke Pharma|Sell|16 Sep|902.99 |185|$4.88 |
 |Exicure|Buy|16 Jun|578.00 |200|$2.89 |
 |Exicure|Buy|18 Nov|1,413.00 |900|$1.57 |
 |Exicure|Buy|18 Nov 2020|1,413.00 |900|$1.57 |
 |Exicure|Buy|22 Jun|513.98 |200|$2.57 |
 |Exicure|Buy|23 Jul|1,173.55 |500|$2.35 |
 |Exicure|Buy|30 Jun|235.87 |100|$2.36 |
 |Exicure|Sell|27 Nov 2020|788.32 |499|$1.58 |
 |Exicure|Sell|27 Nov|788.32 |499|$1.58 |
 |Exicure|Sell|7 Jan|1,980.10 |1,000|$1.98 |
 |Fastly|Buy|15 Oct 2020|924.80 |10|$92.48 |
 |Fastly|Buy|15 Oct|924.80 |10|$92.48 |
 |Fastly| Buy |7 Aug|1,541.00 |20|$77.05 |
 |Fastly| Sell |22 Jan|1,135.20 |11|$103.20 |
 |Fastly|Sell|2 Oct|1,961.84 |20|$98.09 |
 |Fastly|Sell|2 Oct 2020|1,961.84 |20|$98.09 |
 |Fisker|Buy|5 Jan|769.50 |50|$15.39 |
 |Fisker|Sell|25 Nov 2020|979.34 |50|$19.59 |
 |Fisker|Sell|25 Nov|979.34 |50|$19.59 |
 |Flux Power|Buy|14 Jan|1,898.00 |100|$18.98 |
 |Flux Power|Buy|25 Jan|779.85 |50|$15.60 |
 |Flux Power|Buy|9h|770.25 |50|$15.41 |
